REGIONE;PROVINCIA;DENOMINAZIONEISTITUTORIFERIMENTO;CODICESCUOLA;DENOMINAZIONESCUOLA;INDIRIZZOSCUOLA;CAPSCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;SITOWEBSCUOLA
ABRUZZO;CHIETI;""" L. SAVOIA""";CHIS012006;""" L. SAVOIA""";VIA E. GAETANI D'ARAGONA 21;66100;CHIETI;ISTITUTO SUPERIORE;CHIS012006@istruzione.it;chis012006@pec.istruzione.it;Non Disponibile
ABRUZZO;CHIETI;"""ACCIAIUOLI-EINAUDI"" ORTONA";CHTH018015;"""L. ACCIAIUOLI"" ORTONA";VIA MAZZINI 26;66026;ORTONA;ISTITUTO TECNICO NAUTICO;CHIS018005@istruzione.it;Non Disponibile;www.iispomiliochieti.gov.it
ABRUZZO;CHIETI;"""DE TITTA - FERMI""";CHPM01901C;CESARE DE TITTA;PIAZZA MARTIRI VI OTTOBRE 1;66034;LANCIANO;ISTITUTO MAGISTRALE;CHIS019001@istruzione.it;Non Disponibile;www.itetfermi.gov.it
ABRUZZO;CHIETI;"""F. PALIZZI"" VASTO";CHTD04000G;"""F. PALIZZI"" VASTO";VIA DEI CONTI RICCI;66054;VASTO;IST TEC COMMERCIALE E PER GEOMETRI;CHTD04000G@istruzione.it;chtd04000g@pec.istruzione.it;www.itcgpalizzi.com
ABRUZZO;CHIETI;ALGERI MARINO CASOLI;CHRI003013;CASOLI;VIA DEL CAMPO S.N.C.;66043;CASOLI;IST PROF INDUSTRIA E ARTIGIANATO;CHIS00300B@istruzione.it;Non Disponibile;www.iisalgerimarino.edu.it
ABRUZZO;CHIETI;C. D. GISSI;CHAA034073;LISCIA CAP.;VIA CALVARIO;66050;LISCIA;SCUOLA INFANZIA;CHEE034001@istruzione.it;Non Disponibile;www.omnicomprensivospataro.gov.it
ABRUZZO;CHIETI;C.D. G.B.VICO CONVITTO;CHEE10000P;C.D. G.B.VICO CONVITTO;CORSO MARRUCINO 135;66100;CHIETI;SCUOLA PRIMARIA;CHEE10000P@istruzione.it;Non Disponibile;Non Disponibile
ABRUZZO;CHIETI;C.D. VASTO NUOVA DIREZ.DID.;CHEE07202T;GIUSEPPE PELUZZO;VIA STIRLING 1;66054;VASTO;SCUOLA PRIMARIA;CHEE07200Q@istruzione.it;Non Disponibile;www.nuovadirezionedidatticavasto.edu.it
ABRUZZO;CHIETI;C.D.GUARDIAGRELE M.DELLA PORTA;CHAA03606N;S.VINCENZO - GUARDIAGRELE;LOCALITA' COLLE TRIPIO;66016;GUARDIAGRELE;SCUOLA INFANZIA;CHEE03600L@istruzione.it;Non Disponibile;www.circolodidatticoguardiagrele.it
ABRUZZO;CHIETI;C.P.I.A. PESCARA - CHIETI;CHEE705014;SEDE CARCERARIA;Non Disponibile;Non Disponibile;VASTO;SCUOLA PRIMARIA;PEMM107001@istruzione.it;Non Disponibile;www.convittonazionalevicochieti.it
ABRUZZO;CHIETI;"CONVITTO ANNESSO ITA ""RIDOLFI"" SCERNI";CHVC060005;"CONVITTO ANNESSO ITA ""RIDOLFI"" SCERNI";VIA COLLE COMUNE 2;66020;SCERNI;CONVITTO ANNESSO;CHVC060005@istruzione.it;Non Disponibile;Non Disponibile
ABRUZZO;CHIETI;DA VINCI - DE GIORGIO LANCIANO;CHTF01101V;L.DA VINCI LANCIANO;VIA GUIDO ROSATO5;66034;LANCIANO;ISTITUTO TECNICO INDUSTRIALE;CHIS01100A@istruzione.it;Non Disponibile;www.iisdavincidegiorgio.it
ABRUZZO;CHIETI;F. MASCI CHIETI;CHPS01000X;F. MASCI CHIETI;VIA VERNIA 26;66100;CHIETI;LICEO SCIENTIFICO;CHPS01000X@istruzione.it;chps01000x@pec.istruzione.it;www.liceomasci.it
ABRUZZO;CHIETI;G. B. VICO;CHVC010004;G. B. VICO;CORSO MARRUCINO 135/37;66100;CHIETI;CONVITTO NAZIONALE;CHVC010004@istruzione.it;chvc010004@pec.istruzione.it;Non Disponibile
ABRUZZO;CHIETI;G. MARCHITELLI;CHRH01000N;G. MARCHITELLI;VIA ROMA 22 BIS;66047;VILLA SANTA MARIA;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;CHRH01000N@istruzione.it;chrh01000n@pec.istruzione.it;www.istitutoalberghierovillasantamaria.it
ABRUZZO;CHIETI;G.GALILEI DI LANCIANO;CHPS02000E;G.GALILEI DI LANCIANO;VIA DON MINZONI11;66034;LANCIANO;LICEO SCIENTIFICO;CHPS02000E@istruzione.it;chps02000e@pec.istruzione.it;www.scientificogalileilanciano.gov
ABRUZZO;CHIETI;GALIANI - DE STERLICH;CHTD11000L;GALIANI - DE STERLICH;VIA UMBERTO RICCI N. 22;66100;CHIETI;IST TEC COMMERCIALE E PER GEOMETRI;CHTD11000L@istruzione.it;chtd11000l@pec.istruzione.it;http//www.galiani-de sterlich.gov.it
ABRUZZO;CHIETI;GISSI I.OMN.SPATARO GISSI;CHMM05902A;FURCI -I.OMN.SPATARO GISSI;VIA C. DE HORATIIS 1;66050;FURCI;SCUOLA PRIMO GRADO;CHMM059008@istruzione.it;Non Disponibile;www.omnicomprensivospataro.it
ABRUZZO;CHIETI;I. C. CHIETI N.1;CHMM838017;"""G.CHIARINI-DE LOLLIS""-IC CH 1";VIA G.CARLO SPATOCCO 46;66100;CHIETI;SCUOLA PRIMO GRADO;CHIC838006@istruzione.it;Non Disponibile;www.comprensivounochieti.gov.it
ABRUZZO;CHIETI;I. C. CHIETI N.2;CHMM83501Q;VICENTINI-DELLA PORTA - IC CH 2;VIA DON MINZONI;66100;CHIETI;SCUOLA PRIMO GRADO;CHIC83500P@istruzione.it;Non Disponibile;www.comprensivo2chieti.gov.it
ABRUZZO;CHIETI;I. C. CHIETI N.3;CHMM83601G;"""ANTONELLI"" - IC CHIETI 3";VIA AMITERNO;66100;CHIETI;SCUOLA PRIMO GRADO;CHIC83600E@istruzione.it;Non Disponibile;COMPRENSIVO3CHIETI.GOV.IT
ABRUZZO;CHIETI;I. C. CHIETI N.4;CHMM83701B;"""MEZZANOTTE-ORTIZ"" IC CH 4";PIAZZA CARAFA;66100;CHIETI;SCUOLA PRIMO GRADO;CHIC83700A@istruzione.it;Non Disponibile;www.chieti4comprensivo.gov.it/
ABRUZZO;CHIETI;I. C. ORTONA N.1;CHMM841013;FONTE GRANDE - IC ORTONA 1;C.DA FONTEGRANDE;66026;ORTONA;SCUOLA PRIMO GRADO;CHIC841002@istruzione.it;Non Disponibile;www.istitutocomprensivo1ortona.gov.it
ABRUZZO;CHIETI;"I. C. VASTO ""G.ROSSETTI""";CHIC83400V;"I. C. VASTO ""G.ROSSETTI""";VIA BACHELET;66054;VASTO;ISTITUTO COMPRENSIVO;CHIC83400V@istruzione.it;chic83400v@pec.istruzione.it;Non Disponibile
